season_x,name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,position,team_x,opp_team_name,Date,team
2017-18,Aaron Lennon,0,0,3,0,0.4,153,214,1,0,0.2,0.0,2018-01-01 17:30:00+00:00,28,12,0,0,0,0,22,0,5810,2.0,0.0,2.0,1,-209,127,336,54,True,0,22,MID,,Man United,01/01/18,Everton
2017-18,Aaron Mooy,0,0,12,0,8.8,172,215,3,0,3.5,18.0,2018-01-01 15:00:00+00:00,90,9,0,0,0,0,22,0,393723,0.0,3.0,8.0,2,-15386,13758,29144,54,False,0,22,MID,,Leicester,01/01/18,Huddersfield
2017-18,Aaron Ramsdale,0,0,0,0,0.0,549,212,0,0,0.0,0.0,2018-01-01 12:30:00+00:00,0,3,0,0,0,0,22,0,13820,2.0,2.0,0.0,0,4,368,364,40,False,0,22,GK,,Brighton,01/01/18,Bournemouth
2017-18,Adam Lallana,0,0,14,1,48.9,228,213,0,0,10.4,14.4,2018-01-01 15:00:00+00:00,85,4,0,0,0,0,22,0,17964,2.0,1.0,41.0,3,31,301,270,73,False,0,22,MID,,Burnley,01/01/18,Liverpool
2017-18,Adam Smith,1,2,29,0,27.6,35,212,2,0,9.7,39.4,2018-01-01 12:30:00+00:00,90,3,0,0,0,0,22,0,22079,2.0,2.0,30.0,6,377,843,466,48,False,0,22,DEF,,Brighton,01/01/18,Bournemouth
2017-18,Ademola Lookman,0,0,0,0,0.0,157,214,0,0,0.0,0.0,2018-01-01 17:30:00+00:00,0,12,0,0,0,0,22,0,4022,2.0,0.0,0.0,0,-56,17,73,51,True,0,22,MID,,Man United,01/01/18,Everton
2017-18,Alex Oxlade-Chamberlain,0,0,16,0,65.8,19,213,1,0,14.8,20.6,2018-01-01 15:00:00+00:00,90,4,0,0,0,0,22,0,91252,2.0,1.0,62.0,2,2478,5777,3299,56,False,0,22,MID,,Burnley,01/01/18,Liverpool
2017-18,Andreas Pereira,0,0,0,0,0.0,476,214,0,0,0.0,0.0,2018-01-01 17:30:00+00:00,0,7,0,0,0,0,22,0,1714,2.0,0.0,0.0,0,-4,2,6,49,False,0,22,MID,,Everton,01/01/18,Man United
2017-18,Andrew Robertson,0,0,0,0,0.0,475,213,0,0,0.0,0.0,2018-01-01 15:00:00+00:00,0,4,0,0,0,0,22,0,148469,2.0,1.0,0.0,0,8677,20666,11989,47,False,0,22,DEF,,Burnley,01/01/18,Liverpool
2017-18,Anthony Knockaert,0,0,28,0,14.6,62,212,2,1,17.0,53.6,2018-01-01 12:30:00+00:00,90,2,0,0,0,0,22,0,33568,2.0,2.0,102.0,7,-777,354,1131,56,True,0,22,MID,,Bournemouth,01/01/18,Brighton
2017-18,Anthony Martial,0,3,32,1,27.0,280,214,0,1,7.6,36.8,2018-01-01 17:30:00+00:00,77,7,0,0,0,0,22,0,124306,2.0,0.0,12.0,11,-892,5205,6097,80,False,0,22,FWD,,Everton,01/01/18,Man United
2017-18,Ashley Barnes,0,0,9,0,14.1,93,213,2,0,5.3,4.8,2018-01-01 15:00:00+00:00,90,10,0,0,0,0,22,0,47296,2.0,1.0,34.0,2,249,5685,5436,52,True,0,22,FWD,,Liverpool,01/01/18,Burnley
2017-18,Ashley Westwood,0,0,0,0,0.0,88,213,0,0,0.0,0.0,2018-01-01 15:00:00+00:00,0,10,0,0,0,0,22,0,6621,2.0,1.0,0.0,0,-74,153,227,43,True,0,22,MID,,Liverpool,01/01/18,Burnley
2017-18,Ashley Young,0,0,0,0,0.0,277,214,0,0,0.0,0.0,2018-01-01 17:30:00+00:00,0,7,0,0,0,0,22,0,234777,2.0,0.0,0.0,0,-94815,15757,110572,51,False,0,22,DEF,,Everton,01/01/18,Man United
2017-18,Axel Tuanzebe,0,0,3,0,0.0,272,214,0,0,0.0,0.0,2018-01-01 17:30:00+00:00,1,7,0,0,0,0,22,0,93275,2.0,0.0,0.0,1,549,3055,2506,39,False,0,22,DEF,,Everton,01/01/18,Man United
2017-18,Ayoze Pérez,0,3,38,1,24.8,302,218,0,1,8.8,42.4,2018-01-01 15:00:00+00:00,89,15,0,0,0,0,22,0,38160,1.0,0.0,21.0,9,-812,826,1638,52,False,0,22,MID,,Stoke,01/01/18,Newcastle
2017-18,Ben Mee,0,0,17,0,0.6,77,213,2,0,3.3,28.4,2018-01-01 15:00:00+00:00,90,10,0,0,0,0,22,0,858746,2.0,1.0,4.0,1,-10020,41970,51990,49,True,0,22,DEF,,Liverpool,01/01/18,Burnley
2017-18,Ben Woodburn,0,0,0,0,0.0,233,213,0,0,0.0,0.0,2018-01-01 15:00:00+00:00,0,4,0,0,0,0,22,0,16061,2.0,1.0,0.0,0,518,1483,965,42,False,0,22,MID,,Burnley,01/01/18,Liverpool
2017-18,Benjamin Chilwell,0,0,0,0,0.0,196,215,0,0,0.0,0.0,2018-01-01 15:00:00+00:00,0,8,0,0,0,0,22,0,26313,0.0,3.0,0.0,0,-3226,638,3864,43,True,0,22,DEF,,Huddersfield,01/01/18,Leicester
2017-18,Callum Wilson,0,0,27,0,21.9,48,212,2,1,14.8,42.8,2018-01-01 12:30:00+00:00,90,3,0,0,0,0,22,0,108413,2.0,2.0,83.0,6,-1425,11141,12566,57,False,0,22,FWD,,Brighton,01/01/18,Bournemouth
2017-18,Charlie Taylor,0,0,18,0,15.3,81,213,2,0,3.7,19.6,2018-01-01 15:00:00+00:00,90,10,0,0,0,0,22,0,16459,2.0,1.0,2.0,1,2521,3584,1063,42,True,0,22,DEF,,Liverpool,01/01/18,Burnley
2017-18,Chris Smalling,0,0,0,0,0.0,263,214,0,0,0.0,0.0,2018-01-01 17:30:00+00:00,0,7,0,0,0,0,22,0,116306,2.0,0.0,0.0,0,-31894,122,32016,53,False,0,22,DEF,,Everton,01/01/18,Man United
2017-18,Chris Wood,0,0,0,0,0.0,518,213,0,0,0.0,0.0,2018-01-01 15:00:00+00:00,0,10,0,0,0,0,22,0,51616,2.0,1.0,0.0,0,-5324,179,5503,63,True,0,22,FWD,,Liverpool,01/01/18,Burnley
2017-18,Christian Atsu,0,0,5,1,12.6,300,218,0,0,7.8,4.4,2018-01-01 15:00:00+00:00,63,15,0,0,0,0,22,0,101444,1.0,0.0,61.0,3,9531,20171,10640,48,False,0,22,MID,,Stoke,01/01/18,Newcastle
2017-18,Christian Fuchs,0,0,26,1,24.1,192,215,0,0,4.1,14.6,2018-01-01 15:00:00+00:00,90,8,0,0,0,0,22,0,115668,0.0,3.0,2.0,6,1127,4543,3416,48,True,0,22,DEF,,Huddersfield,01/01/18,Leicester
2017-18,Ciaran Clark,0,0,17,1,0.0,289,218,0,0,2.2,10.8,2018-01-01 15:00:00+00:00,90,15,0,0,0,0,22,0,98197,1.0,0.0,11.0,6,2575,6842,4267,44,False,0,22,DEF,,Stoke,01/01/18,Newcastle
2017-18,Dale Stephens,0,0,13,0,13.5,63,212,2,0,3.6,18.4,2018-01-01 12:30:00+00:00,90,2,0,0,0,0,22,0,77892,2.0,2.0,4.0,2,-751,5441,6192,45,True,0,22,MID,,Bournemouth,01/01/18,Brighton
