name,team
Shkodran Mustafi,Arsenal
Héctor Bellerín,Arsenal
Sead Kolasinac,Arsenal
Ainsley Maitland-Niles,Arsenal
Sokratis Papastathopoulos,Arsenal
Nacho Monreal,Arsenal
Laurent Koscielny,Arsenal
Konstantinos Mavropanos,Arsenal
Carl Jenkinson,Arsenal
Rob Holding,Arsenal
Pierre-Emerick Aubameyang,Arsenal
Alexandre Lacazette,Arsenal
Edward Nketiah,Arsenal
Bernd Leno,Arsenal
Mesut Özil,Arsenal
Henrikh Mkhitaryan,Arsenal
Granit Xhaka,Arsenal
Lucas Torreira,Arsenal
Mohamed Elneny,Arsenal
Matteo Guendouzi,Arsenal
David Luiz Moreira Marinho,Arsenal
Emiliano Martínez,Arsenal
Calum Chambers,Arsenal
Daniel Ceballos Fernández,Arsenal
Cédric Soares,Arsenal
Nicolas Pépé,Arsenal
Reiss Nelson,Arsenal
Joseph Willock,Arsenal
Gabriel Teodoro Martinelli Silva,Arsenal
Kieran Tierney,Arsenal
Bukayo Saka,Arsenal
Emile Smith Rowe,Arsenal
Tyreece John-Jules,Arsenal
Pablo Marí,Arsenal
Zech Medley,Arsenal
Matt Macey,Arsenal
Matthew Smith,Arsenal
Ahmed El Mohamady,Aston Villa
James Chester,Aston Villa
Neil Taylor,Aston Villa
Kortney Hause,Aston Villa
Jonathan Kodjia,Aston Villa
Ørjan Nyland,Aston Villa
Conor Hourihane,Aston Villa
Jack Grealish,Aston Villa
Anwar El Ghazi,Aston Villa
John McGinn,Aston Villa
Andre Green,Aston Villa
Birkir Bjarnason,Aston Villa
Keinan Davis,Aston Villa
Henri Lansbury,Aston Villa
José Ignacio Peleteiro Romallo,Aston Villa
Tom Heaton,Aston Villa
Daniel Drinkwater,Aston Villa
Matt Targett,Aston Villa
Wesley Moraes,Aston Villa
Jed Steer,Aston Villa
Tyrone Mings,Aston Villa
Ezri Konsa Ngoyo,Aston Villa
Bjorn Engels,Aston Villa
Frédéric Guilbert,Aston Villa
Mahmoud Ahmed Ibrahim Hassan,Aston Villa
Douglas Luiz Soares de Paulo,Aston Villa
Lovre Kalinic,Aston Villa
Marvelous Nakamba,Aston Villa
Indiana Vassilev,Aston Villa
José Reina,Aston Villa
Mbwana Samatta,Aston Villa
Borja González Tomás,Aston Villa
Kaine Hayden,Aston Villa
Steve Cook,Bournemouth
Nathan Aké,Bournemouth
Charlie Daniels,Bournemouth
Chris Mepham,Bournemouth
Simon Francis,Bournemouth
Adam Smith,Bournemouth
Lloyd Kelly,Bournemouth
Diego Rico,Bournemouth
Jack Simpson,Bournemouth
Callum Wilson,Bournemouth
Joshua King,Bournemouth
Dominic Solanke,Bournemouth
Sam Surridge,Bournemouth
Asmir Begovic,Bournemouth
Artur Boruc,Bournemouth
Mark Travers,Bournemouth
Ryan Fraser,Bournemouth
David Brooks,Bournemouth
Junior Stanislas,Bournemouth
Jordon Ibe,Bournemouth
Lewis Cook,Bournemouth
Andrew Surman,Bournemouth
Dan Gosling,Bournemouth
Jefferson Lerma,Bournemouth
Jack Stacey,Bournemouth
Philip Billing,Bournemouth
Arnaut Danjuma Groeneveld,Bournemouth
Aaron Ramsdale,Bournemouth
Harry Wilson,Bournemouth
Christian Saydee,Bournemouth
Gavin Kilkenny,Bournemouth
Mihai-Alexandru Dobre,Bournemouth
Shane Duffy,Brighton
Martín Montoya,Brighton
Bernardo Fernandes da Silva Junior,Brighton
Leon Balogun,Brighton
Gaëtan Bong,Brighton
Lewis Dunk,Brighton
Matthew Clarke,Brighton
Glenn Murray,Brighton
Jürgen Locadia,Brighton
Florin Andone,Brighton
Mathew Ryan,Brighton
David Button,Brighton
Pascal Groß,Brighton
Alireza Jahanbakhsh,Brighton
José Heriberto Izquierdo Mena,Brighton
Anthony Knockaert,Brighton
Yves Bissouma,Brighton
Davy Pröpper,Brighton
Solomon March,Brighton
Beram Kayal,Brighton
Dale Stephens,Brighton
Leandro Trossard,Brighton
Dan Burn,Brighton
Adam Webster,Brighton
Neal Maupay,Brighton
Aaron Mooy,Brighton
Aaron Connolly,Brighton
Tudor Baluta,Brighton
Steven Alzate,Brighton
Ezequiel Schelotto,Brighton
Tariq Lamptey,Brighton
Alexis Mac Allister,Brighton
Alex Cochrane,Brighton
Ben Mee,Burnley
James Tarkowski,Burnley
Matthew Lowton,Burnley
Phil Bardsley,Burnley
Charlie Taylor,Burnley
Kevin Long,Burnley
Ben Gibson,Burnley
Ashley Barnes,Burnley
Chris Wood,Burnley
Matej Vydra,Burnley
Nick Pope,Burnley
Joe Hart,Burnley
Johann Berg Gudmundsson,Burnley
Dwight McNeil,Burnley
Robbie Brady,Burnley
Steven Defour,Burnley
Jeff Hendrick,Burnley
Ashley Westwood,Burnley
Jack Cork,Burnley
Aaron Lennon,Burnley
Erik Pieters,Burnley
Jay Rodriguez,Burnley
Bailey Peacock-Farrell,Burnley
Mace Goodridge,Burnley
Anthony Driscoll-Glennon,Burnley
Abd-Al-Ali Morakinyo Olaposi Koiki,Burnley
Josh Brownhill,Burnley
Jimmy Dunne,Burnley
Bobby Thomas,Burnley
Max Thompson,Burnley
Lukas Jensen,Burnley
Josh Benson,Burnley
Joel Mumbongo,Burnley
Marcos Alonso,Chelsea
Antonio Rüdiger,Chelsea
César Azpilicueta,Chelsea
Emerson Palmieri dos Santos,Chelsea
Andreas Christensen,Chelsea
Davide Zappacosta,Chelsea
Olivier Giroud,Chelsea
Kepa Arrizabalaga,Chelsea
Willy Caballero,Chelsea
Willian Borges Da Silva,Chelsea
Pedro Rodríguez Ledesma,Chelsea
Ruben Loftus-Cheek,Chelsea
Callum Hudson-Odoi,Chelsea
Ross Barkley,Chelsea
Jorge Luiz Frello Filho,Chelsea
N'Golo Kanté,Chelsea
Ethan Ampadu,Chelsea
Christian Pulisic,Chelsea
Mateo Kovacic,Chelsea
Kurt Zouma,Chelsea
Tammy Abraham,Chelsea
Michy Batshuayi,Chelsea
Robert Kenedy Nunes do Nascimento,Chelsea
Mason Mount,Chelsea
Reece James,Chelsea
Fikayo Tomori,Chelsea
Billy Gilmour,Chelsea
Addji Keaninkin Marc-Israel Guehi,Chelsea
Faustino Anjorin,Chelsea
Armando Broja,Chelsea
Lewis Bate,Chelsea
Patrick van Aanholt,Crystal Palace
James Tomkins,Crystal Palace
Mamadou Sakho,Crystal Palace
Joel Ward,Crystal Palace
Scott Dann,Crystal Palace
Martin Kelly,Crystal Palace
Christian Benteke,Crystal Palace
Connor Wickham,Crystal Palace
Vicente Guaita,Crystal Palace
Wayne Hennessey,Crystal Palace
Wilfried Zaha,Crystal Palace
Luka Milivojevic,Crystal Palace
Andros Townsend,Crystal Palace
Max Meyer,Crystal Palace
Jeffrey Schlupp,Crystal Palace
James McArthur,Crystal Palace
Cheikhou Kouyaté,Crystal Palace
Luke Dreher,Crystal Palace
James McCarthy,Crystal Palace
Jordan Ayew,Crystal Palace
Gary Cahill,Crystal Palace
Víctor Camarasa,Crystal Palace
Jairo Riedewald,Crystal Palace
Stephen Henderson,Crystal Palace
Sam Woods,Crystal Palace
Tyrick Mitchell,Crystal Palace
Brandon Pierrick,Crystal Palace
James Daly,Crystal Palace
Nya Kirby,Crystal Palace
Giovanni McGregor,Crystal Palace
Nikola Tavares,Crystal Palace
John-Kymani Gordon,Crystal Palace
Alex Iwobi,Everton
Lucas Digne,Everton
Yerry Mina,Everton
Michael Keane,Everton
Seamus Coleman,Everton
Leighton Baines,Everton
Cenk Tosun,Everton
Dominic Calvert-Lewin,Everton
Jordan Pickford,Everton
Maarten Stekelenburg,Everton
Richarlison de Andrade,Everton
Gylfi Sigurdsson,Everton
Bernard Anício Caldeira Duarte,Everton
Theo Walcott,Everton
Tom Davies,Everton
Ademola Lookman,Everton
Idrissa Gueye,Everton
Morgan Schneiderlin,Everton
Fabian Delph,Everton
André Filipe Tavares Gomes,Everton
Lewis Gibson,Everton
Mason Holgate,Everton
Jonas Lössl,Everton
Moise Kean,Everton
Jean-Philippe Gbamin,Everton
