HT_Code,AT_Code,FT_Result_code,HT_Form,AT_Form,FT_HT_Goals,FT_AT_Goals,HT_HT_Goals,HT_AT_Goals,HT_Shots,AT_Shots,HT_Shots_target,AT_Shots_target,HT_Fouls_Comm,AT_Fouls_Comm,HT_Corners,AT_Corners,HT_Yellows,AT_Yellows,HT_Reds,AT_Reds,HT_W_Odds,Draw_Odds,AT_W_Odds,5GAV_FT_HT_Goals,5GAV_FT_AT_Goals,5GAV_HT_Shots,5GAV_AT_Shots,5GAV_HT_Shots_target,5GAV_AT_Shots_target,5GAV_HT_Fouls_Comm,5GAV_AT_Fouls_Comm,5GAV_HT_Corners,5GAV_AT_Corners,5GAV_HT_Yellows,5GAV_AT_Yellows,5GAV_HT_Reds,5GAV_AT_Reds,HT_Result_code,AVG_Influence_HT,AVG_ICT_Index_HT,Injured_Players_HT,AVG_Influence_AT,AVG_ICT_Index_AT,Injured_Players_AT,HT_Players_Performances,AT_Players_Performances
1,8,1,10,10,3,0,3,0,14,9,5,2,9,11,9,1,0,2,0,0,2.4,3.5,3.1,2.0,1.2,15.2,20.4,4.2,5.8,8.8,8.8,5.8,4.4,1.2,1.4,0.0,0.0,1,11.071794871794872,3.5564102564102567,2.0,10.702222222222222,3.033333333333333,0.0,5.314102564102564,6.8677777777777775
19,15,1,9,7,4,1,4,0,16,10,7,3,9,12,8,6,0,2,0,0,1.73,3.9,5.25,1.0,2.2,15.2,12.8,4.4,5.4,9.8,9.8,6.4,6.0,1.6,0.8,0.0,0.2,1,9.831111111111111,2.088888888888889,3.0,11.583333333333334,3.0194444444444444,1.0,2.96,6.301388888888889
28,18,0,4,15,1,3,1,1,13,18,5,4,15,9,2,7,2,4,0,0,9.0,5.5,1.36,0.6,2.0,8.6,13.0,2.4,4.8,10.2,8.0,4.8,4.4,1.2,1.2,0.0,0.0,0,10.733333333333334,1.9333333333333336,1.0,17.712820512820514,4.68974358974359,1.0,5.333333333333334,10.201282051282051
27,9,0,1,7,2,3,1,0,11,20,4,4,15,12,3,5,0,2,0,0,2.88,3.25,2.7,1.0,1.2,11.0,10.2,3.4,3.8,12.0,10.2,3.4,4.6,1.8,2.0,0.2,0.0,1,20.6,3.1,5.0,19.953333333333333,4.53,2.0,6.850000000000001,10.241666666666667
26,31,0,1,7,1,1,0,0,12,9,2,3,9,13,6,6,3,4,0,0,2.38,3.3,3.3,1.4,0.8,9.6,10.2,3.6,3.4,10.6,11.8,3.4,5.0,2.2,1.4,0.0,0.0,0,3.5333333333333337,1.106666666666667,1.0,13.425,2.4916666666666667,1.0,1.3200000000000003,6.958333333333334
3,10,1,4,13,1,0,1,0,12,13,1,2,10,14,5,3,2,2,0,0,3.6,3.5,2.15,1.0,0.6,11.6,10.4,3.4,3.8,10.8,12.4,5.4,4.4,2.0,2.8,0.0,0.0,1,8.333333333333332,2.166666666666667,1.0,13.666666666666664,3.242424242424242,5.0,4.25,3.4545454545454533
16,13,1,10,7,5,1,3,0,32,2,12,1,8,8,13,2,1,2,0,1,1.22,7.0,15.0,2.6,1.0,22.2,9.6,6.4,3.4,7.2,12.0,9.4,4.2,1.0,1.6,0.0,0.2,1,18.142857142857142,4.55,3.0,17.633333333333333,2.8944444444444444,5.0,8.346428571428572,5.263888888888889
20,29,0,5,11,1,2,0,2,6,19,2,5,14,9,2,10,2,1,0,0,3.75,3.5,2.1,0.6,3.2,8.8,15.6,2.8,6.6,11.2,9.8,3.4,3.6,1.2,1.8,0.2,0.0,0,14.833333333333332,2.2250000000000005,1.0,13.495833333333334,4.3187500000000005,3.0,7.529166666666667,5.9072916666666675
32,25,0,3,5,0,3,0,1,13,18,1,9,9,14,6,2,5,2,0,0,2.8,3.3,2.75,1.4,1.0,12.2,14.0,3.4,4.6,10.0,11.4,6.6,7.2,1.0,1.6,0.2,0.4,0,9.691666666666666,2.252083333333333,4.0,9.784313725490197,2.5725490196078438,2.0,1.9718749999999998,4.178431372549021
6,30,1,4,7,2,0,1,0,13,12,4,3,11,15,7,6,1,3,0,0,2.9,3.2,2.7,1.0,1.4,10.6,12.4,2.4,3.4,11.0,10.6,5.0,4.6,2.0,1.8,0.0,0.2,1,11.636363636363637,2.048484848484849,1.0,8.4,2.347619047619048,2.0,5.842424242424243,3.3738095238095243
