player_name,season_injured,injury,injured_since,injured_until,duration,games_missed,club
Asmir Begovic,2020-2021,Thigh Problems,2020-09-10,2020-09-14,4 days,1.0,Bournemouth
Asmir Begovic,2018-2019,Thumb Injury,2018-11-11,2018-11-24,13 days,,Stoke
David Luiz,2020-2021,Hamstring Injury,2021-05-03,2021-05-24,21 days,5.0,Arsenal
David Luiz,2020-2021,Ill,2020-12-25,2021-01-01,7 days,2.0,Arsenal
David Luiz,2020-2021,Head Injury,2020-12-01,2020-12-15,14 days,4.0,Arsenal
David Luiz,2020-2021,Knock,2020-11-27,2020-11-28,1 days,,Arsenal
David Luiz,2020-2021,Hamstring Injury,2020-10-26,2020-11-03,8 days,2.0,Arsenal
Gary Cahill,2020-2021,Knock,2020-12-20,2021-01-13,24 days,4.0,Crystal Palace
Gary Cahill,2020-2021,Calf Injury,2020-10-23,2020-11-06,14 days,2.0,Crystal Palace
Gary Cahill,2020-2021,Hamstring Injury,2020-07-08,2020-10-17,101 days,9.0,Crystal Palace
Gary Cahill,2019-2020,Knee Injury,2019-12-08,2020-01-04,27 days,5.0,Crystal Palace
Gary Cahill,2019-2020,Knee Injury,2019-12-01,2019-12-06,5 days,1.0,Crystal Palace
Kurt Zouma,2022-2023,Hamstring Injury,2023-01-27,2023-03-04,36 days,7.0,West Ham
Kurt Zouma,2022-2023,Knee Injury,2022-11-12,2023-01-09,58 days,5.0,West Ham
Kurt Zouma,2021-2022,Sprained Ankle,2022-04-18,2022-04-25,7 days,1.0,West Ham
Kurt Zouma,2021-2022,Hamstring Injury,2021-12-06,2022-01-17,42 days,10.0,West Ham
Kurt Zouma,2017-2018,Knee Injury,2018-03-29,2018-04-05,7 days,1.0,Stoke
Nathan Aké,2020-2021,Hamstring Injury,2020-12-27,2021-03-14,77 days,21.0,Man City
Nathan Aké,2020-2021,Hamstring Injury,2020-11-11,2020-11-30,19 days,3.0,Man City
Nathan Aké,2020-2021,Groin Strain,2020-10-21,2020-10-30,9 days,3.0,Man City
Nathan Aké,2020-2021,Groin Injury,2020-07-13,2020-07-25,12 days,2.0,Bournemouth
Nathan Aké,2019-2020,Head Injury,2020-02-10,2020-02-28,18 days,1.0,Bournemouth
Nathan Aké,2019-2020,Hamstring Injury,2019-12-08,2020-01-11,34 days,6.0,Bournemouth
Nathan Aké,2018-2019,Toe Injury,2018-08-04,2018-08-10,6 days,,Man City
Nathan Aké,2017-2018,Ankle Injury,2017-08-27,2017-09-08,12 days,,Man City
Tomas Kalas,2017-2018,Hip problems,2018-02-25,2018-03-20,23 days,4.0,Fulham
Tomas Kalas,2016-2017,Hamstring Injury,2016-12-17,2017-01-07,21 days,3.0,Fulham
Tomas Kalas,2016-2017,Unknown Injury,2016-09-20,2016-10-23,33 days,7.0,Fulham
John Terry,2017-2018,Metatarsal Fracture,2017-11-04,2018-01-05,62 days,11.0,Aston Villa
Branislav Ivanovic,2020-2021,Knock,2020-09-23,2020-10-03,10 days,1.0,West Brom
Ola Aina,2020-2021,Fitness,2020-09-11,2020-10-03,22 days,6.0,Fulham
N'Golo Kanté,2017-2018,Circulation Problems,2018-03-01,2018-03-05,4 days,1.0,Leicester
Nemanja Matic,2021-2022,Shinbone injury,2022-02-10,2022-02-18,8 days,2.0,Man Utd
Nemanja Matic,2019-2020,Unknown Injury,2019-10-20,2019-12-11,52 days,12.0,Man Utd
Nemanja Matic,2018-2019,Ill,2019-04-04,2019-04-15,11 days,2.0,Man Utd
Nemanja Matic,2018-2019,Bruise,2019-03-18,2019-03-29,11 days,,Man Utd
Nemanja Matic,2018-2019,Calf muscle strain,2019-02-20,2019-03-10,18 days,5.0,Man Utd
Nathaniel Chalobah,2022-2023,Knock,2022-07-30,2022-08-08,9 days,1.0,Fulham
Nathaniel Chalobah,2021-2022,Fitness,2021-12-03,2021-12-18,15 days,2.0,Fulham
Nathaniel Chalobah,2021-2022,Calf Injury,2021-10-16,2021-12-03,48 days,10.0,Fulham
Nathaniel Chalobah,2021-2022,Hamstring Injury,2021-09-25,2021-10-08,13 days,3.0,Fulham
Nathaniel Chalobah,2020-2021,Corona virus,2020-08-26,2020-09-09,14 days,,Watford
Nathaniel Chalobah,2019-2020,Back Injury,2020-02-02,2020-02-07,5 days,,Watford
Nathaniel Chalobah,2019-2020,Groin Injury,2020-01-23,2020-01-31,8 days,1.0,Watford
